id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality
356055,US-7066,medium_airport,Love spells that work Using Powerful Love Spells-call+27685029687,-0.000117,-0.000269,,US,US-KY,
313932,US-0267,closed,Morse Field,18.9163,-155.6773,40,US,US-HI,South Point
336027,US-1592,closed,Kahuku Airstrip,19.067102,-155.682621,,US,US-HI,Naalehu
336026,US-1591,closed,Naalehu Airstrip,19.07604,-155.574528,,US,US-HI,Naalehu
17635,HI25,small_airport,Kaalaiki Airstrip,19.122507,-155.578398,1964,US,US-HI,Naalehu
17637,HI28,small_airport,Pahala Airstrip,19.215392,-155.468559,1195,US,US-HI,Pahala
17638,HI29,closed,Upper Paauau Airport,19.227478,-155.506234,2600,US,US-HI,Pahala
17647,HI52,heliport,Rainshed Heliport,19.433268,-155.25991,4000,US,US-HI,Volcano Village
336025,US-1590,closed,Pahoa Airstrip,19.51612,-154.96268,,US,US-HI,Pahoa
341377,US-3202,heliport,Kona Community Hospital Helipad,19.52057,-155.91694,,US,US-HI,Kealakekua
17633,HI23,small_airport,Mountain View Airstrip,19.546359,-155.108116,1500,US,US-HI,Mountain View
313931,US-0266,closed,Old Kona Airport,19.6448,-156.0114,8,US,US-HI,Kailua-Kona
17626,HI04,heliport,Hilo Medical Center Heliport,19.718464,-155.114422,487,US,US-HI,Hilo
337666,US-2060,closed,Ho'olulu Park Landing Field,19.71873,-155.06912,13,US,US-HI,Hilo
5457,PHTO,medium_airport,Hilo International Airport,19.721399,-155.048004,38,US,US-HI,Hilo
309370,US-0224,small_airport,Pohakuloa Training Area Airstrip,19.726675,-155.524542,,US,US-HI,Waimea (Kamuela)
344633,US-4131,closed,Radio Bay Seaplane Base,19.7344,-155.05567,,US,US-HI,Hilo
5448,PHKO,medium_airport,Ellison Onizuka Kona International Airport at Keahole,19.738783,-156.045603,47,US,US-HI,Kailua-Kona
336038,US-1593,closed,Hilo Bay Seaplane Anchorage,19.741667,-155.066666,0,US,US-HI,Hilo
5456,PHSF,small_airport,Bradshaw Army Airfield,19.760099,-155.554001,6190,US,US-HI,Waimea (Kamuela)
17639,HI31,closed,Mauna Kea-Honolii Airport,19.764024,-155.139525,1400,US,US-HI,Papaikou
17631,HI13,closed,Puu Waa Waa Ranch Airport,19.792041,-155.848041,2250,US,US-HI,Kailua-Kona
336022,US-1587,closed,Kona Village Resort Airport,19.83247,-155.981666,,US,US-HI,Kailua-Kona
6536,00HI,heliport,Kaupulehu Heliport,19.832881,-155.978347,43,US,US-HI,Kailua-Kona
17640,HI32,small_airport,Pepeekeo Airstrip,19.846582,-155.106872,675,US,US-HI,Pepeekeo
17624,HI02,closed,Peleau Airport,19.902201,-155.16601,1088,US,US-HI,Hakalau
325704,US-0764,closed,Waikoloa Air Strip,19.918787,-155.863337,,US,US-HI,Waikoloa Village
17628,HI07,heliport,Waikoloa Heliport,19.920546,-155.860628,119,US,US-HI,Waikoloa Village
