,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,closest_airport_in_km
0,3063607,,2013-WTW-2712-OE,,,GU,Guam,66010,Guam Power Authority Wind Turbine,2016.0,1,0.275,Vergnet,GEV MP-C,275.0,55.0,32.0,804.25,71.0,0,,2,3,8/10/17,Digital Globe,144.722656,13.389381,5271.904683466828
1,3072718,,2011-WTE-8720-OE,,61014.0,PR,Santa Isabel Municipio,72133,Santa Isabel,2012.0,44,101.2,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,0,,3,3,8/14/2017,Digital Globe,-66.393341,17.970871,1649.9671035205095
2,3072754,,2011-WTE-8753-OE,,61014.0,PR,Santa Isabel Municipio,72133,Santa Isabel,2012.0,44,101.2,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,0,,3,3,8/14/2017,Digital Globe,-66.370461,17.971909,1651.9624224687464
3,3072734,,2011-WTE-8735-OE,,61014.0,PR,Santa Isabel Municipio,72133,Santa Isabel,2012.0,44,101.2,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,0,,3,3,8/14/2017,Digital Globe,-66.380272,17.971926,1651.0796391007455
4,3072763,,2011-WTE-8721-OE,,61014.0,PR,Santa Isabel Municipio,72133,Santa Isabel,2012.0,44,101.2,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,0,,3,3,8/14/2017,Digital Globe,-66.392967,17.973064,1649.872169545321
5,3072749,,2011-WTE-8716-OE,,61014.0,PR,Santa Isabel Municipio,72133,Santa Isabel,2012.0,44,101.2,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,0,,3,3,8/14/2017,Digital Globe,-66.399483,17.973644,1649.252719715327
6,3072721,,2011-WTE-8755-OE,,61014.0,PR,Santa Isabel Municipio,72133,Santa Isabel,2012.0,44,101.2,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,0,,3,3,8/14/2017,Digital Globe,-66.363678,17.974134,1652.4419187039675
7,3072750,,2011-WTE-8752-OE,,61014.0,PR,Santa Isabel Municipio,72133,Santa Isabel,2012.0,44,101.2,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,0,,3,3,8/14/2017,Digital Globe,-66.370628,17.974346,1651.8047304390202
8,3072764,,2011-WTE-8736-OE,,61014.0,PR,Santa Isabel Municipio,72133,Santa Isabel,2012.0,44,101.2,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,0,,3,3,8/14/2017,Digital Globe,-66.376953,17.97452,1651.2260108964929
9,3072730,,2011-WTE-8727-OE,,61014.0,PR,Santa Isabel Municipio,72133,Santa Isabel,2012.0,44,101.2,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,0,,3,3,8/14/2017,Digital Globe,-66.384697,17.974949,1650.5048838961936
